sensor,mT,bT,mRH,bRH
32,0.953976046759,0.64074421949,1.01009562711,0.820251646579
33,0.93028776209,1.20901119849,0.984301625197,1.40979323766
34,0.990206058501,0.36112728793,0.965737323224,0.663595892954
35,0.988577614232,0.485784725522,0.95853246459,0.863696131504
36,1.03663052043,-0.547961711482,1.00619079225,-0.333523569232
37,1.03843884483,-0.83563849316,1.01428928775,-0.362569647039
38,1.03702566634,-0.796974732731,1.01254902482,-0.381930208069
39,1.0567588972,-1.14557548562,1.0164639295,-0.502797080886
40,1.06455479323,-1.36369645284,1.05161790422,-1.58042902666
41,1.03886092231,-0.978935812207,0.992379717168,0.0548943797267
42,1.04832187103,-1.11822007775,1.02501934124,-0.846651771849
43,0.958875360027,0.874972886987,0.985826263188,0.158502751842
44,0.966856121861,0.986701619977,0.986525226879,0.0246563081857
45,1.00632641525,-0.16723653989,0.995307023511,-0.0604379160814
46,1.01308013301,-0.259241514875,0.993373567089,0.103438764344
47,1.03717624236,-0.83486373679,0.996213734595,0.0615832732005
48,0.999598136334,0.285152251776,0.964253020266,0.151500128443
49,0.990555357884,0.302585864789,0.993376045332,0.465522784384
50,0.989445393421,0.377036684881,0.960822829114,0.52393722214
51,1.0,-1.90524995748e-14,1.0,-5.35723923273e-17
52,0.989707481648,0.237976121914,0.986287078506,0.52270808837
53,1.04025956713,-0.850639888176,1.03841383886,-1.530919444
54,0.986676005487,0.261128132506,1.01823927084,-0.357369546125
56,0.915953870451,1.64610776156,0.959653877778,1.44041702361
57,0.977570485323,0.361853046463,0.995463897037,0.209111926237
58,0.932984242285,1.52087983348,0.957576356257,1.02207568196
59,0.980640472593,0.746429541934,0.957042951902,0.435521179612
60,0.965332562065,0.760889146788,0.98041567808,0.443335831924
61,0.96187147492,0.98574194604,0.972787431683,0.164075392194
62,0.973626218433,0.72785978758,0.960402326659,0.750336661757
63,0.989702490405,-0.117863024219,1.05894346855,-1.4280673477
64,1.05324808174,-1.27822409299,1.01207205403,-0.117674346694
65,1.08745120873,-1.98499015056,1.02962714272,-0.256003130625
66,0.962004514848,0.661265903032,0.997392542748,0.863581324233
